course_code,course_title,semester,overall_rating,transparent_grading,assignments_match_content,grades_easy,grades_fairly,good_lecturer_orator,course_recommended,total_reviews,grading_type,class_mode,extra_credit
FC-0102-1,,Monsoon 2024,4.3,2,2,2,2,2,2,2,absolute,Extra,false
FC-0102-2,,Spring 2024,3.9,3,3,3,3,3,3,3,absolute,offline,false
FC-0102-3,,Spring 2024,2.9,3,3,3,3,3,3,3,absolute,offline,false
FC-0102-4,,Monsoon 2023,2.8,2,2,2,2,2,2,2,absolute,offline,false
FC-0201-1,,Spring 2024,4.2,4,4,4,4,4,4,4,absolute,offline,false
FC-0201-2,,Spring 2024,4.4,3,3,3,3,3,3,3,relative,offline,false
FC-0201-3,,Spring 2024,4.3,3,3,3,2,3,3,3,absolute,offline,true
FC-0201-4,,Monsoon 2023,3.1,2,2,1,1,2,2,2,absolute,Extra,false
FC-0201-5,,Monsoon 2023,4.2,3,3,2,2,3,3,3,absolute,offline,false
FC-0306-1,,Monsoon 2024,1.8,1,1,1,1,1,1,1,absolute,offline,false
FC-0306-2,,Spring 2024,4.5,4,4,4,4,4,4,4,Class,Extra,Reviews
FC-0306-3,,Monsoon 2024,5,1,1,1,1,1,1,1,relative,offline,Reviews
FC-0306-4,,Monsoon 2024,3.1,,,,,,,9,absolute,offline,Reviews
FC-0412-1,,Monsoon 2024,3.7,3,3,3,3,3,3,3,absolute,offline,false
FC-0412-2,,Spring 2024,4.2,5,5,5,5,5,5,5,absolute,offline,false
FC-0412-3,,Monsoon 2024,3.8,4,4,4,4,4,4,4,relative,offline,Reviews
FC-0412-4,,Monsoon 2024,2.8,,,,,,,11,absolute,offline,false
FC-0412-5,,Monsoon 2024,4.1,3,3,3,3,3,3,3,absolute,offline,false
FC-0412-6,,Monsoon 2024,3.3,5,5,5,5,5,5,5,absolute,offline,false
FC-0503-1,,Spring 2024,2.8,2,2,2,2,2,2,2,absolute,offline,false
FC-0503-2,,Monsoon 2024,4.3,,,,,,,10,relative,offline,false
FC-0503-3,,Monsoon 2024,3.7,4,4,4,4,4,4,4,absolute,offline,false
FC-0503-4,,Monsoon 2024,4.1,,,,,,,10,absolute,offline,true
FC-0503-5,,Monsoon 2023,1.7,1,1,0,0,1,1,1,absolute,offline,false
FC-0503-6,,Monsoon 2023,3.2,2,2,1,1,2,2,2,absolute,offline,false
FC-0601-1,,Spring 2024,4.7,5,5,5,5,5,5,5,absolute,offline,false
FC-0601-2,,Monsoon 2024,4.5,5,5,5,5,5,5,5,absolute,offline,false
FC-0601-3,,Monsoon 2024,3.5,4,4,4,4,4,4,4,absolute,offline,Reviews
FC-0601-4,,Spring 2024,4.2,4,4,4,4,4,4,4,absolute,offline,Reviews
FC-0601-5,,Monsoon 2024,3.6,4,4,4,4,4,4,4,absolute,offline,false
FC-0601-6,,Monsoon 2024,3.5,,,,,,,7,Class,offline,Reviews
FC-0701-1,,Spring 2024,2.4,5,5,5,5,5,5,5,absolute,offline,true
FC-0701-2,,Spring 2024,3.6,2,2,2,2,2,2,2,absolute,offline,false
FC-0701-3,,Monsoon 2023,4,3,3,2,2,3,3,3,relative,offline,false
FC-0701-4,,Monsoon 2024,4.5,,,,,,,6,absolute,offline,false
FC-0701-5,,Monsoon 2024,2.6,,,,,,,7,Class,offline,false
FC-0801-1,,Spring 2024,4.5,3,3,3,3,3,3,3,absolute,offline,true
FC-0801-2,,Spring 2024,2.8,2,2,2,2,2,2,2,relative,offline,false
FC-0801-3,,Monsoon 2024,4,3,3,3,3,3,3,3,relative,offline,false
FC-0801-4,,Monsoon 2024,3.6,,,,,,,6,absolute,offline,false
FC-0801-5,,Monsoon 2024,4.5,,,,,,,9,absolute,offline,false
FC-0801-6,,Monsoon 2024,3,4,4,4,4,4,4,4,relative,offline,false
